"","energy","tempo","danceability","loudness","liveness","valence","speechiness","instrumentalness","mode","key","duration_ms","acousticness","track_name","track_artist","track_album_name","track_album_release_date","track_popularity","time_signature","type","track_id","track_album_id"
"46",0.814,147.193,0.673,-5.411,0.343,0.728,0.0367,0.00293,1,9,252200,0.0134,"White Wedding - Pt. 1","Billy Idol","Billy Idol","1982-01-01",70,4,"audio_features","1gzIbdFnGJ226LTl0Cn2SX","5ebh0MxkqELmk50xHj2b4k"
"47",0.767,127.361,0.532,-5.509,0.39,0.755,0.0574,0.000513,1,7,210173,0.00287,"You Shook Me All Night Long","AC/DC","Back In Black","1980-07-25",81,4,"audio_features","2SiXAy7TuUkycRVbbWDEpo","6mUdeDZCsExyJLMdAfDuwh"
"48",0.863,136.302,0.723,-7.89,0.128,0.931,0.0338,0.0317,1,2,222813,0.0383,"(I Can't Get No) Satisfaction - Mono Version","The Rolling Stones","Out Of Our Heads","1965-07-30",76,4,"audio_features","2PzU4IB8Dr6mxV3lHuaG34","2Q5MwpTmtjscaS34mJFXQQ"
"49",0.449,100.456,0.486,-10.298,0.54,0.549,0.0267,2.23e-06,1,5,254293,0.166,"Starman - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","1972-06-06",76,4,"audio_features","0pQskrTITgmCMyr85tb9qq","48D1hRORqJq52qsnUYZX56"
"50",0.902,89.74,0.412,-11.6,0.405,0.422,0.405,0.131,1,9,333893,0.0484,"Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","1969-10-22",72,4,"audio_features","0hCB0YR03f6AmQaHbwWDe8","70lQYZtypdCALtFVlQAcvx"
"51",0.944,105.338,0.394,-6.506,0.298,0.265,0.0761,4.54e-06,0,10,292581,0.00178,"Even Flow","Pearl Jam","Ten","1991-08-27",77,4,"audio_features","6QewNVIDKdSl8Y3ycuHIei","5B4PYA7wNN4WdEXdIJu58a"
"52",0.917,171.176,0.356,-6.006,0.406,0.518,0.0479,0,1,9,357267,0.0335,"Bitter Sweet Symphony - Remastered 2016","The Verve","Urban Hymns (Remastered 2016)","1997-09-29",79,4,"audio_features","57iDDD9N9tTWe75x6qhStw","52AeC4gwbxDfFlLHgK1ByD"
"53",0.589,124.634,0.455,-8.64,0.104,0.254,0.0328,0.00358,1,11,283733,0.00184,"Don't Cry (Original)","Guns N' Roses","Use Your Illusion I","1991-09-17",75,4,"audio_features","2N2yrmodOnVF10mKvItC9P","0CxPbTRARqKUYighiEY9Sz"
"54",0.805,113.253,0.438,-6.237,0.0842,0.564,0.0624,5.69e-05,1,8,240800,0.00255,"All Along the Watchtower","Jimi Hendrix","Electric Ladyland","1968-10-25",72,4,"audio_features","2aoo2jlRnM3A0NyLQqMN2f","5z090LQztiqh13wYspQvKQ"
"55",0.239,189.507,0.446,-13.945,0.0697,0.298,0.0316,4.1e-06,1,0,336453,0.551,"In The Air Tonight - 2015 Remastered","Phil Collins","Face Value (Deluxe Editon)","1981-01-01",76,4,"audio_features","18AXbzPzBS8Y3AkgSxzJPb","1cM3r0WQZWNkCpEbmFjLln"
"56",0.828,105.25,0.539,-9.108,0.154,0.562,0.035,0.421,0,4,515387,0.00067,"Master of Puppets (Remastered)","Metallica","Master of Puppets (Remastered Deluxe Box Set)","1986-03-03",70,4,"audio_features","54bm2e3tk8cliUz3VSdCPZ","7CGhx630DIjdJqaBDVKc5j"
"57",0.487,114.965,0.73,-10.991,0.0852,0.731,0.0303,0.01,1,4,226653,0.258,"Everywhere - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1987-04-13",79,4,"audio_features","254bXAqt3zP6P50BdQvEsq","4AsXQ17Arq1cUVoa9dKJ3F"
"58",0.579,127.215,0.62,-9.307,0.0858,0.691,0.0473,6.4e-05,1,4,225627,0.0152,"Just What I Needed","The Cars","The Cars","1978-06-06",69,4,"audio_features","4alHo6RGd0D3OUbTPExTHN","4tJPWT4r4FSKwy784Qs1Fq"
"59",0.912,116.761,0.502,-4.556,0.106,0.72,0.0564,0.000173,1,1,301920,2.55e-05,"Smells Like Teen Spirit","Nirvana","Nevermind (Remastered)","1991-09-26",76,4,"audio_features","5ghIJDpPoe3CfHMGu71E6T","2guirTSEqLizK7j9i1MTTZ"
"60",0.833,88.785,0.466,-4.215,0.0327,0.661,0.304,0,1,7,313573,0.0266,"Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1992",78,4,"audio_features","59WN2psjkt1tyaxjspN8fp","4Io5vWtmV1rFj4yirKb4y4"
"61",0.376,164.775,0.53,-11.913,0.0926,0.188,0.04,0.247,0,9,259947,0.0304,"Come Together - Remastered 2009","The Beatles","Abbey Road (Remastered)","1969-09-26",75,4,"audio_features","2EqlS6tkEnglzr7tkKAAYD","0ETFjACtuP2ADo6LFhL6HN"
"62",0.786,126.755,0.482,-5.735,0.446,0.793,0.032,8.88e-05,1,7,323000,0.00321,"Carry on Wayward Son","Kansas","Leftoverture (Expanded Edition)","1976",73,4,"audio_features","4DMKwE2E2iYDKY01C335Uw","7MejfRSNnrpcLZIxkeZDqR"
"63",0.789,129.802,0.674,-6.903,0.0753,0.918,0.0676,0.00708,1,8,121160,0.00178,"Song 2 - 2012 Remaster","Blur","Blur (Special Edition)","1997-02-10",78,4,"audio_features","1FTSo4v6BOZH9QxKc3MbVM","7HvIrSkKGJCzd8AKyjTJ6Q"
"64",0.441,81.334,0.519,-14.178,0.076,0.25,0.0353,0.000453,1,4,234973,0.0204,"Where Is My Mind? - 2007 Remaster","Pixies","Surfer Rosa (2007 Remaster)","1988-03-21",76,4,"audio_features","7wCmS9TTVUcIhRalDYFgPy","50j4Wm1b9hLpSpPIA39Vp9"
"65",0.836,113.375,0.743,-6.465,0.384,0.82,0.116,0,1,2,188987,0.0804,"Should I Stay or Should I Go - Remastered","The Clash","Combat Rock (Remastered)","1982",80,4,"audio_features","39shmbIHICJ2Wxnk1fPSdz","1ZH5g1RDq3GY1OvyD0w0s2"
"66",0.528,109.975,0.932,-6.472,0.163,0.757,0.161,0.329,0,5,214653,0.115,"Another One Bites The Dust - Remastered 2011","Queen","The Game (Deluxe Remastered Version)","1980-06-27",71,4,"audio_features","57JVGBtBLCfHw2muk5416J","6wPXUmYJ9mOWrKlLzZ5cCa"
"67",0.905,128.019,0.602,-4.046,0.117,0.411,0.0775,0.064,1,2,304840,0.000202,"Uprising","Muse","The Resistance","2009-09-10",75,4,"audio_features","4VqPOruhp5EdPBeR92t6lQ","0eFHYz8NmK75zSplL5qlfM"
"68",0.946,138.18,0.454,-5.978,0.173,0.647,0.13,0,0,1,156147,0.0223,"You Really Got Me - 2015 Remaster","Van Halen","Van Halen (Remastered)","1978-02-10",68,4,"audio_features","0upLyFR8Rr52ZpMp5esQoq","7DdEbYFPKTZ8KB4z6L4UnQ"
"69",0.828,105.435,0.35,-5.373,0.0774,0.147,0.041,0.000161,1,6,318587,0.000217,"Black Hole Sun","Soundgarden","Superunknown (Deluxe Edition)","1994-03-09",76,4,"audio_features","2EoOZnxNgtmZaD8uUmz2nD","29sTacnS0qA9xri6YS8xLA"
"70",0.872,159.925,0.587,-5.066,0.622,0.735,0.0484,0,1,7,221333,0.018,"Fly Away","Lenny Kravitz","5","1998-05-12",73,4,"audio_features","1OxcIUqVmVYxT6427tbhDW","6MCNMOCRsh6nxs7PNzc0zN"
"71",0.808,151.008,0.577,-7.04,0.221,0.869,0.039,1.33e-05,0,1,290280,0.0338,"Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","1979-10-02",75,4,"audio_features","1oYYd2gnWZYrt89EBXdFiO","2EpuND32cO7CX0gXZl2NB6"
"72",0.758,112.113,0.489,-6.491,0.092,0.435,0.0297,0.49,1,7,371413,0.000678,"Heroes - 2017 Remaster","David Bowie","""""Heroes"""" (2017 Remaster)","1977",72,4,"audio_features","7Jh1bpe76CNTCgdgAdBw4Z","4I5zzKYd2SKDgZ9DRf5LVk"
"73",0.932,112.937,0.564,-10.068,0.349,0.619,0.0554,0.169,1,11,146250,0.013,"Immigrant Song - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","1970",75,4,"audio_features","78lgmZwycJ3nzsdgmPPGNx","6P5QHz4XtxOmS5EuiGIPut"
"74",0.338,177.765,0.388,-10.054,0.248,0.478,0.0329,3.73e-06,1,10,303373,0.652,"Mr. Blue Sky","Electric Light Orchestra","Out of the Blue","1977",76,4,"audio_features","2RlgNHKcydI9sayD2Df2xp","3usnShwygMXVZB4IV5dwnU"
"75",0.7,188.386,0.31,-5.678,0.0828,0.763,0.047,0.00965,1,9,255493,0.011,"Back In Black","AC/DC","Back In Black","1980-07-25",83,4,"audio_features","08mG3Y1vljYA6bvDt4Wqkj","6mUdeDZCsExyJLMdAfDuwh"
"76",0.691,137.145,0.548,-13.553,0.144,0.667,0.0369,0.106,0,4,261933,0.015,"Barracuda","Heart","Little Queen","1977-05-14",74,4,"audio_features","4KfSdst7rW39C0sfhArdrz","1LaeNhiUpL3X6N0LcFvuDF"
"77",0.532,136.576,0.601,-9.119,0.0925,0.342,0.0286,5.95e-06,1,10,281613,0.433,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John","Honky Chateau","1972-05-19",79,4,"audio_features","3gdewACMIVMEWVbyb8O9sY","2ei2X6ghPnw7YRwQtAH075"
"78",0.927,141.466,0.333,-8.55,0.297,0.385,0.0733,0.000208,0,9,308120,0.0029,"(Don't Fear) The Reaper","Blue Öyster Cult","Agents Of Fortune","1976",75,4,"audio_features","5QTxFnGygVM4jFQiBovmRo","6C9WzlQANeoD0GW5B41YJt"
"79",0.864,81.394,0.437,-7.842,0.242,0.749,0.0904,0.0314,0,4,295387,0.396,"Black Dog - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","1971-11-08",69,4,"audio_features","3qT4bUD1MaWpGrTwcvguhb","44Ig8dzqOkvkGDzaUof9lK"
"80",0.912,117.399,0.575,-7.275,0.0562,0.843,0.0393,0.00211,0,7,207267,0.0916,"Long Train Runnin'","The Doobie Brothers","The Captain and Me","1973",69,4,"audio_features","4nXkbcTj3nyww1cHkw5RAP","0M2KWMbvY5x1sUnIKNpyUt"
"81",0.611,85.387,0.654,-10.45,0.405,0.786,0.119,0.000178,1,2,235000,0.0337,"Loser","Beck","Mellow Gold","1994-03-01",69,4,"audio_features","5PntSbMHC1ud6Vvl8x56qd","0iIGP4Sxw3KR4OCFv2yvz8"
"82",0.748,134.114,0.618,-8.905,0.0473,0.663,0.358,4.1e-06,1,0,191947,0.0384,"Roxanne","The Police","Outlandos D'Amour (Remastered 2003)","1978-11-02",77,4,"audio_features","3EYOJ48Et32uATr9ZmLnAo","1H9g6j4Wwj6wh6p8YHVtkf"
"83",0.7,147.245,0.586,-9.558,0.0318,0.897,0.0363,0.00125,1,0,295400,0.0589,"My Sharona","The Knack","Get The Knack","1979-01-01",69,4,"audio_features","1HOMkjp0nHMaTnfAkslCQj","6H0wsYDvFlATzXHn0IqVpi"
"84",0.318,104.522,0.575,-16.729,0.0934,0.385,0.109,0.000202,1,0,254173,0.683,"Walk On the Wild Side","Lou Reed","Transformer","1972-12-01",74,4,"audio_features","5p3JunprHCxClJjOmcLV8G","5SqbMEyAt8332ISGiLX0St"
"85",0.706,80.823,0.445,-9.803,0.205,0.768,0.0461,0.000252,1,8,266720,0.234,"The Boys Are Back In Town","Thin Lizzy","Jailbreak (Deluxe Edition)","1976",70,4,"audio_features","43DeSV93pJPT4lCZaWZ6b1","6Cf545T4jkaiyvMnTRPOB2"
"86",0.913,115.728,0.574,-4.793,0.156,0.423,0.133,0.00158,0,6,208400,0.061,"Highway to Hell","AC/DC","Highway to Hell","1979-07-27",84,4,"audio_features","2zYzyRzz6pRmhPzyfMEC8s","10v912xgTZbjAtYfyKWJCS"
"87",0.495,124.936,0.532,-6.662,0.0754,0.308,0.0343,0,1,10,214240,0.659,"Vienna","Billy Joel","The Stranger (Legacy Edition)","1977",79,4,"audio_features","4U45aEWtQhrm8A5mxPaFZ7","1Mhn9VosyjtWn4dMPFlna6"
"88",0.737,103.867,0.662,-9.54,0.119,0.744,0.0296,0.0191,1,0,329800,0.108,"The Best","Tina Turner","Foreign Affair","1989-09-13",69,4,"audio_features","6pPWRBubXOBAHnjl5ZIujB","3hgAoHSmany3EiKL0Aqh3G"
"89",0.936,91.577,0.666,-9.919,0.153,0.776,0.0476,0.086,1,7,282907,0.00244,"Give It Away","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","1991-09-24",72,4,"audio_features","0uppYCG86ajpV2hSR3dJJ0","30Perjew8HyGkdSmqguYyg"
"90",0.432,94.605,0.475,-7.844,0.161,0.648,0.0302,0,1,7,153467,0.183,"Good Riddance (Time of Your Life)","Green Day","Nimrod","1997-10-14",79,4,"audio_features","6ORqU0bHbVCRjXm9AjyHyZ","3x2uer6Xh0d5rF8toWpRDA"
"91",0.751,89.839,0.421,-9.584,0.17,0.789,0.0472,0,1,9,145867,0.2,"Break on Through (To the Other Side)","The Doors","The Doors","1967-01-04",72,4,"audio_features","6ToM0uwxtPKo9CMpbPGYvM","1jWmEhn3ggaL6isoyLfwBn"
"92",0.938,168.131,0.324,-7.332,0.0961,0.543,0.102,0.0321,0,6,178440,0.032,"Sabotage","Beastie Boys","Ill Communication","1994-05-23",71,4,"audio_features","0Puj4YlTm6xNzDDADXHMI9","6lfjbwFGzQ6aSNP1N3JlT8"
"93",0.953,84.989,0.267,-4.899,0.283,0.568,0.096,0,0,1,267307,0.00211,"Pour Some Sugar On Me - Remastered 2017","Def Leppard","Hysteria (Super Deluxe)","1987-08-03",72,4,"audio_features","0PdM2a6oIjqepoEfcJo0RO","31oeDyCOLhgeZyktfxo0pE"
"94",0.919,135.997,0.465,-4.025,0.262,0.537,0.0408,2.07e-05,1,4,235293,1.83e-05,"Learn to Fly","Foo Fighters","There Is Nothing Left To Lose","1999-11-02",73,4,"audio_features","5OQsiBsky2k2kDKy2bX2eT","28q2N44ocJECgf8sbHEDfY"
"95",0.927,170.814,0.215,-7.327,0.126,0.49,0.0452,0.00661,1,9,194853,0.000273,"Interstate Love Song - 2019 Remaster","Stone Temple Pilots","Purple (2019 Remaster)","1994-06-07",72,4,"audio_features","6qLEOZvf5gI7kWE63JE7p3","57lcTrUlYgfMIPvBUsVU6h"
"96",0.801,133.769,0.651,-7.34,0.0825,0.776,0.0514,0,1,0,200480,0.123,"London Calling - Remastered","The Clash","London Calling (Remastered)","1979",70,4,"audio_features","5jzma6gCzYtKB1DbEwFZKH","6FCzvataOZh68j8OKzOt9a"
"97",0.262,122.861,0.481,-15.73,0.832,0.375,0.0414,0.0114,1,7,334744,0.735,"Wish You Were Here","Pink Floyd","Wish You Were Here","1975-09-12",75,4,"audio_features","6mFkJmJqdDVQ1REhVfGgd1","0bCAjiUamIFqKJsekOYuRw"
"98",0.449,84.383,0.623,-13.333,0.0613,0.573,0.0253,0,1,5,256000,0.212,"Free Fallin'","Tom Petty","Full Moon Fever","1989-01-01",75,4,"audio_features","5tVA6TkbaAH9QMITTQRrNv","5d71Imt5CIb7LpQwDMQ093"
